# Time	G_on.ParticleNumber	G_off.ParticleNumber	Prot.ParticleNumber	
72.5744	0	1	19	
73.5165	0	1	18	
75.5873	0	1	17	
77.8463	0	1	16	
82.957	0	1	15	
83.0023	0	1	14	
87.4785	0	1	13	
94.3942	0	1	12	
105.945	1	0	12	
106.274	1	0	13	
106.94	1	0	14	
107.272	1	0	13	
107.626	1	0	14	
107.988	1	0	15	
108.053	1	0	16	
108.093	1	0	15	
108.828	1	0	16	
110.017	1	0	17	
111.599	1	0	16	
112.739	1	0	15	
112.755	1	0	16	
113.541	1	0	17	
114.529	1	0	18	
114.895	1	0	17	
115.462	1	0	18	
115.542	1	0	19	
117.464	1	0	20	
118.295	1	0	21	
118.419	1	0	20	
118.563	1	0	21	
118.998	1	0	22	
119.091	1	0	23	
119.233	1	0	24	
119.71	1	0	25	
120.828	1	0	26	
122.294	1	0	27	
122.313	0	1	27	
124.976	0	1	26	
131.512	0	1	25	
133.967	0	1	24	
138.026	0	1	23	
140.645	1	0	23	
140.915	1	0	24	
141.656	1	0	25	
141.714	1	0	26	
141.749	0	1	26	
145.959	0	1	25	
146.453	1	0	25	
146.535	0	1	25	
148.08	1	0	25	
148.194	1	0	24	
148.224	1	0	23	
148.68	1	0	22	
148.956	1	0	21	
150.813	1	0	22	
152.114	1	0	21	
153.656	1	0	22	
153.671	0	1	22	
155.119	0	1	21	
155.413	0	1	20	
157.793	0	1	19	
158.855	0	1	18	
164.27	0	1	17	
164.525	0	1	16	
171.005	0	1	15	
172.613	1	0	15	
173.031	1	0	16	
173.876	1	0	17	
174.023	1	0	16	
174.371	1	0	15	
175.852	1	0	16	
176.026	1	0	17	
176.255	1	0	18	
176.384	1	0	19	
177.658	1	0	18	
178.86	1	0	19	
179.184	1	0	20	
179.468	1	0	21	
179.591	1	0	20	
180.832	1	0	21	
181.26	1	0	22	
181.665	1	0	21	
182.036	1	0	20	
182.709	1	0	21	
183.045	1	0	22	
183.413	1	0	23	
184.583	1	0	24	
185.782	1	0	25	
186.575	1	0	24	
187.563	1	0	25	
187.798	1	0	26	
193.423	1	0	25	
194.611	1	0	26	
194.691	1	0	27	
194.73	1	0	28	
194.993	1	0	29	
195.485	1	0	30	
195.586	1	0	29	
196.388	1	0	28	
196.487	1	0	29	
196.487	1	0	30	
196.732	1	0	31	
197.033	0	1	31	
197.345	1	0	31	
197.461	1	0	30	
197.846	1	0	31	
199.509	1	0	30	
199.778	0	1	30	
200	0	1	30	
nan	nan	nan	nan	
0	1	0	0	
0.603036	1	0	1	
1.61222	1	0	2	
1.99484	0	1	2	
4.6099	0	1	1	
26.2436	1	0	1	
27.1189	1	0	2	
28.8539	1	0	3	
28.8681	1	0	4	
30.8191	1	0	5	
31.6679	1	0	6	
32.4848	1	0	7	
35.2328	0	1	7	
36.0331	0	1	6	
38.503	0	1	5	
44.1073	1	0	5	
44.5047	1	0	6	
45.3511	1	0	7	
45.5942	1	0	8	
46.2841	1	0	9	
46.477	1	0	10	
48.8739	1	0	11	
48.8883	1	0	12	
49.2811	1	0	11	
49.3943	1	0	12	
50.1619	1	0	13	
50.2164	1	0	12	
51.5818	1	0	13	
52.1447	1	0	12	
53.3933	1	0	13	
54.6812	1	0	14	
55.6928	1	0	13	
56.7786	1	0	12	
58.9733	1	0	13	
59.5869	0	1	13	
62.083	0	1	12	
67.2271	1	0	12	
68.448	0	1	12	
71.7036	0	1	11	
72.309	1	0	11	
73.1572	1	0	10	
73.3149	1	0	11	
74.4319	1	0	12	
74.8645	1	0	13	
75.8019	1	0	14	
76.6014	1	0	13	
78.6028	1	0	12	
79.5964	1	0	13	
79.776	0	1	13	
83.2485	1	0	13	
83.711	1	0	14	
84.3674	1	0	15	
84.6226	1	0	16	
86.5541	1	0	17	
87.4313	1	0	18	
87.7613	1	0	19	
87.8485	1	0	20	
88.5979	1	0	21	
88.6122	1	0	22	
88.7435	1	0	23	
88.8779	1	0	24	
89.2551	1	0	25	
90.3249	1	0	26	
90.3335	1	0	27	
91.0206	1	0	26	
91.1638	1	0	27	
91.7146	1	0	26	
92.1869	1	0	27	
93.0483	1	0	28	
94.0329	1	0	29	
94.2956	1	0	30	
94.6381	1	0	29	
96.3614	1	0	28	
96.542	1	0	27	
97.0092	1	0	28	
97.3481	1	0	29	
98.0159	1	0	30	
98.3425	1	0	31	
98.5654	1	0	30	
99.7172	1	0	31	
99.986	1	0	32	
